s,trip_seconds,trip_miles,fare,tips,tolls,trip_total,payment_type
346,600.0,2.5,10.0,0.0,0.0,10.0,0
347,1080.0,9.1,25.0,6.5,0.0,32.5,1
348,300.0,1.0,6.0,1.0,0.0,7.0,1
349,0.0,0.0,10.0,0.0,0.0,10.0,1
350,720.0,2.5,10.25,2.05,0.0,12.3,1
351,60.0,0.0,3.25,0.0,0.0,102.75,1
352,60.0,0.0,3.25,8.85,0.0,53.1,1
353,0.0,0.0,6.0,1.2,0.0,7.2,1
354,2280.0,16.9,42.75,9.35,0.0,56.1,1
355,1320.0,17.6,43.25,11.3,0.0,56.55,1
356,1260.0,12.8,32.25,0.0,0.0,37.25,1
357,300.0,1.5,6.75,2.0,0.0,10.25,1
358,660.0,1.0,7.75,0.0,0.0,7.75,0
359,960.0,0.1,12.0,0.0,0.0,12.0,0
360,300.0,1.3,6.75,1.0,0.0,7.75,1
361,780.0,3.9,13.25,2.0,0.0,15.25,1
362,0.0,0.0,6.0,1.5,0.0,7.5,1
363,540.0,0.0,8.25,0.0,0.0,9.75,0
364,420.0,0.7,6.0,0.0,0.0,6.0,0
365,300.0,0.8,5.75,2.0,0.0,7.75,1
366,180.0,0.0,5.0,0.0,0.0,6.0,0
367,120.0,0.3,4.0,1.0,0.0,5.0,1
368,2100.0,18.3,43.5,5.0,0.0,48.5,1
369,360.0,0.8,6.25,3.0,0.0,9.25,1
370,0.0,0.0,9.25,2.31,0.0,11.56,1
371,1860.0,17.1,42.5,0.0,0.0,47.5,0
372,480.0,1.2,6.75,2.0,0.0,8.75,1
373,480.0,2.0,8.5,0.0,0.0,8.5,0
374,780.0,3.2,12.0,2.4,0.0,14.4,1
375,300.0,1.9,7.0,0.0,0.0,8.0,0
376,780.0,4.7,14.75,2.95,0.0,17.7,1
377,240.0,0.8,5.5,0.0,0.0,6.5,0
378,0.0,0.0,48.25,9.65,0.0,57.9,1
379,360.0,0.0,6.5,2.0,0.0,8.5,1
380,720.0,3.3,12.0,3.0,0.0,15.0,1
381,2520.0,18.0,40.65,0.0,0.0,40.65,0
382,360.0,1.2,6.5,3.0,0.0,11.0,1
383,60.0,0.0,3.25,0.0,0.0,3.25,0
384,1200.0,5.2,16.75,0.0,0.0,19.25,0
385,1740.0,6.2,21.5,0.0,0.0,21.5,0
386,600.0,1.4,8.25,2.0,0.0,10.25,1
387,1920.0,5.6,19.5,3.9,0.0,23.4,1
388,240.0,1.1,6.0,0.0,0.0,7.0,0
389,120.0,0.4,4.0,1.0,0.0,6.5,1
390,660.0,3.2,11.25,2.25,0.0,13.5,1
391,960.0,6.1,15.85,0.0,0.0,15.85,0
392,1320.0,17.9,44.25,5.0,0.0,51.25,1
393,540.0,1.7,7.65,0.0,0.0,8.65,0
394,420.0,1.6,7.5,0.0,0.0,7.5,0
395,780.0,5.3,16.25,0.0,0.0,16.25,0
396,840.0,0.0,17.0,0.01,0.0,17.01,1
397,0.0,0.0,10.25,2.05,0.0,12.3,1
398,420.0,0.0,6.75,1.0,0.0,7.75,1
399,420.0,1.4,7.0,0.0,0.0,8.5,0
400,420.0,1.8,8.0,1.0,0.0,9.0,1
401,540.0,1.8,8.25,0.0,0.0,9.25,0
402,0.0,0.0,6.5,2.0,0.0,8.5,1
403,0.0,0.0,6.75,3.0,0.0,9.75,1
404,180.0,0.0,5.25,7.0,0.0,12.25,1
405,1860.0,17.5,44.25,0.0,0.0,46.25,0
406,1320.0,2.2,12.25,3.98,0.0,17.23,1
407,60.0,0.0,4.0,0.0,0.0,5.0,1
408,360.0,1.6,7.0,0.0,0.0,8.0,0
409,780.0,2.4,9.85,0.0,0.0,9.85,0
410,1860.0,18.3,46.5,0.0,0.0,54.0,0
411,1140.0,5.6,15.65,3.3,0.0,19.95,1
412,420.0,1.0,6.5,1.0,0.0,7.5,1
413,420.0,2.1,8.5,3.0,0.0,12.5,1
414,180.0,0.3,4.25,0.0,0.0,5.25,0
415,0.0,0.0,3.25,0.0,0.0,3.25,0
416,480.0,0.0,7.0,0.0,0.0,7.0,0
417,0.0,0.0,5.5,0.0,0.0,6.5,0
418,720.0,0.0,13.25,0.0,0.0,13.25,0
419,1860.0,0.7,32.75,0.0,0.0,36.75,0
420,180.0,0.4,4.45,0.0,0.0,5.45,0
421,420.0,1.3,7.0,2.0,0.0,10.5,1
422,660.0,0.9,7.75,1.5,0.0,9.25,1
423,420.0,0.0,9.75,3.0,0.0,12.75,1
424,420.0,0.1,8.0,2.0,0.0,10.0,1
425,780.0,2.6,9.85,0.0,0.0,10.85,0
426,1680.0,0.0,44.25,9.85,0.0,59.1,1
427,540.0,1.1,7.0,0.0,0.0,8.0,0
428,840.0,0.1,11.25,0.0,0.0,11.25,0
429,300.0,0.8,5.75,0.0,0.0,5.75,0
430,420.0,0.0,6.25,0.0,0.0,6.25,0
431,600.0,1.7,8.75,1.0,0.0,9.75,1
432,660.0,1.5,8.5,2.0,0.0,11.5,1
433,360.0,0.0,31.0,0.0,0.0,31.0,0
434,540.0,0.0,7.0,2.0,0.0,9.0,1
435,300.0,0.0,6.25,1.0,0.0,8.25,1
436,480.0,1.9,8.0,0.0,0.0,8.0,0
437,2520.0,16.5,44.0,0.0,0.0,48.0,0
438,420.0,0.9,6.5,0.0,0.0,6.5,0
439,360.0,0.0,5.75,0.0,0.0,7.25,0
440,0.0,0.0,8.5,1.7,0.0,10.2,1
441,420.0,1.0,6.25,0.0,0.0,6.25,1
442,780.0,2.7,10.75,2.65,0.0,13.4,1
443,300.0,0.9,5.75,0.0,0.0,5.75,0
444,2700.0,0.0,40.5,8.5,0.0,51.0,1
445,1620.0,0.7,30.75,0.0,0.0,30.75,0
446,180.0,0.6,4.75,0.0,0.0,6.25,0
447,300.0,1.0,6.0,0.0,0.0,6.0,0
448,1140.0,12.8,32.25,0.0,0.0,34.25,0
449,240.0,0.9,5.75,0.0,0.0,6.75,0
450,720.0,1.7,9.0,0.0,0.0,9.0,0
451,660.0,0.2,13.0,0.0,0.0,13.0,0
452,240.0,0.9,5.75,1.0,0.0,6.75,1
453,1080.0,14.7,36.25,3.0,0.0,43.25,1
454,900.0,2.2,10.0,1.0,0.0,12.0,1
455,60.0,0.1,3.25,0.0,0.0,3.25,0
456,0.0,0.0,7.0,1.75,0.0,8.75,1
457,360.0,0.0,7.0,0.0,0.0,7.0,0
458,1620.0,0.0,28.65,6.0,0.0,37.65,1
459,720.0,1.77,9.0,2.0,0.0,12.0,1
460,600.0,2.9,10.25,2.35,0.0,14.1,1
461,720.0,0.0,8.75,2.0,0.0,10.75,1
462,540.0,4.5,13.75,5.0,0.0,18.75,1
463,600.0,1.6,8.25,0.0,0.0,9.25,0
464,480.0,1.7,7.5,2.0,0.0,9.5,1
465,360.0,1.0,6.5,3.0,0.0,11.0,1
466,660.0,6.6,18.5,0.0,0.0,18.5,0
